NID,ID,PROYECTO,SONDAJE,ESTE,SUR,HUSO,ZONA,TIPO,ZI,ZF,N1,N2,N3,NR,TIPO DE SUELO,DUREZA ESTIMADA,N FREATICO,DESCRIPCION,,,,
,,Edificio Oficinas,S-2,668742.63,5934439.72,18,H,,5.00,5.45,,,,,Granular,Media,,Arena bien graduada media a gruesa. Compacta. Humedad alta.,,,,
,,Edificio Oficinas,S-2,668742.63,5934439.72,18,H,,6.00,6.45,,,,,Granular,Media,6,Arena bien graduada media a gruesa. Compacta. Humedad alta.,,,,
,,Edificio Oficinas,S-2,668742.63,5934439.72,18,H,,6.67,6.72,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Estadio Laraquete,S-1,660361.82,5884421.44,18,H,,0.00,1,,,,,,-,,,,,,
,,Estadio Laraquete,S-1,660361.82,5884421.44,18,H,,1.00,1.45,,,,,Granular,Suelta,1.5,"Arena bien graduada media a fina, color gris a gris oscuro.Compacidad suelta.",,,,
,,Estadio Laraquete,S-1,660361.82,5884421.44,18,H,,2.00,2.45,,,,,Granular,Media,,"Arena bien graduada media a fina, color gris a gris oscuro.Compacidad media.",,,,
,,Estadio Laraquete,S-1,660361.82,5884421.44,18,H,,3.00,3.45,,,,,Granular,Media,,"Arena bien graduada media a fina, color gris a gris oscuro.Compacidad media.",,,,
,,Estadio Laraquete,S-1,660361.82,5884421.44,18,H,,4.00,4.45,,,,,Granular,Media,,"Arena bien graduada media a fina, color gris a gris oscuro.Compacidad media.",,,,
,,Estadio Laraquete,S-1,660361.82,5884421.44,18,H,,5.00,5.45,,,,,Granular,Suelta,,"Arena bien graduada media a fina, color gris a gris oscuro.Compacidad suelta.",,,,
,,Estadio Laraquete,S-1,660361.82,5884421.44,18,H,,6.00,6.45,,,,,Granular,Suelta,,"Arena bien graduada media a fina, color gris a gris oscuro.Compacidad suelta.",,,,
,,Estadio Laraquete,S-1,660361.82,5884421.44,18,H,,7.00,7.45,,,,,Granular,Media,,"Arena bien graduada media a fina, color gris a gris oscuro.Compacidad media.",,,,
,,Estadio Laraquete,S-1,660361.82,5884421.44,18,H,,8.00,8.45,,,,,Granular,Media,,"Arena bien graduada media a fina, color gris a gris oscuro.Compacidad media.",,,,
,,Estadio Laraquete,S-1,660361.82,5884421.44,18,H,,9.00,9.45,,,,,Granular,Media,,"Arena bien graduada media a fina, color gris a gris oscuro.Compacidad media.",,,,
,,Estadio Laraquete,S-1,660361.82,5884421.44,18,H,,10.00,10.45,,,,,Granular,Suelta,,"Arena bien graduada media a fina, color gris a gris oscuro.Compacidad suelta.",,,,
,,"PEAC QUILLON, FLORIDA",S-1,714147,5929453,18,H,,0.00,1,,,,,,-,,"Relleno (basura , camino antiguo)",,,,
,,"PEAC QUILLON, FLORIDA",S-1,714147.00,5929453.00,18,H,,1.00,1.45,,,,,Granular,Media,,"Arena arcillosa (maisillo), compacidad media",,,,
,,"PEAC QUILLON, FLORIDA",S-1,714147.00,5929453.00,18,H,,2.00,2.45,,,,,Granular,Media,,"Arena arcillosa (maisillo), compacidad media",,,,
